"title_name","address","address1","for_description","country","competition_corner","startDate","startMonth","startYear","endDate","endMonth","endYear","organizer_name","organizer_url","page_url"
"LPCF BRIDGETOWN THROWDOWN","151 S Hacienda Blvd Unit A, City of Industry, CA, 91745, United States","La Puente CrossFit","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","US","Throwdown Hub Presents","09","04","2021","09","04","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/708"
"Lone Star Lite","1683 Northpark Dr., Kingwood, TX, 77339, United States","CrossFit 1836","Individual Male/Female Scaled Competition.STANDARDSBe comfortable with moving a 135#/95# Barbell in any variation of a clean.Be comfortable with moving a 45#/30# Kettlebell in a variety of movements including Kettlebell swings and Box Step-Ups.Be comfortable with hanging on a rig and bringing your knees to a 90 degree angle.Be comfortable with 35#/25# DBs for a variety of movements.This is the competition for you if you constantly scale your workouts from what is written on the board.","US","Crossfit 1836 Presents","13","03","2021","13","03","2021","Crossfit 1836","http://www.crossfit1836.com","https://throwdownhub.io/calendar/competition/info/709"
"The Battle at Branded One 2021","2055 E. Windmill Lane, Suite 125, Las Vegas, NV, 89123, United States","Branded One CrossFit","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","US","Throwdown Hub Presents","13","11","2021","13","11","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/712"
"US Trials","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","04","12","2020","14","12","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/714"
"Spanish Trials","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","04","12","2020","14","12","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/715"
"LatAm Trials","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","04","12","2020","14","12","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/716"
"Bullet Point Open 2021","","","The Bullet Point Open is our online community functional fitness competition and is all inclusive. Our goal is simple to bring everyone together through competition while making a positive impact on both our communities fitness and the greater community at large. Individual Prizes and Giveaways as well as a chance for gyms to earn equipment and build excitement and morale at their boxes during the cold winter months. In the past it has been all about Community, Comradery and Competition &hellip;. but this year we add a fourth &ldquo;C&rdquo; to that mix with Charity. Part of this years new Affiliate Team option will be a fundraising component which will play into that Affiliate/Gym Team&rsquo;s score and could earn them bragging rights and some epic gear for their gym.

Format:Online Individual competing in 4 WODs over 3 Weeks

Divisions:Open Rx, Open Intermediate, Open Scaled, Masters 40+ Rx, Masters 40+ Scaled, Adaptive, Teen (13-17), Kids (12 and under)

Optional Division:Affiliate Team

Special Recognized Categories:Military, Law Enforcement, Firefighters, and First Responders

Difficulty:ALL LEVELS (Beginner to Advanced)

OPEN RX, INTERMEDIATE AND SCALED DIVISION &ndash; $25.00 PER PERSON

Rx division WODs will be attainable for most rx level to elite level athletes, we are programming WODs that require strategy and not just brute force strength and endurance. Using this concept they will not only be attainable for most intermediate level athletes that meet the movement requirements but will also be challenging for the most advanced athletes participating.

Intermediate division, newly added this year, will provide an option for both Rx and Scaled division athletes who may have felt to overwhelmed in the Rx division but maybe not challenged enough enough in the Scaled division.

Scaled division will be open to beginner levels of athlete. The movements will be basic movements that can be done by all levels with little to no scaling. The WODs will be designed to make this all levels division competitive and fun.

MASTERS RX, SCALED DIVISION (40+) &ndash; $25.00 PER PERSON

As always we love to acknowledge our masters athletes. Once Again we will be doing two separated division for Masters this year. This division will be for athletes that are 40 years of age or older as of January 1 and use the same workouts, weights and formats as the Rx/Scaled Open Division. Masters athletes MAY register either as a Masters or Open Rx/Intermediate/Scaled Division if they want to throw down with the youngins&rsquo;.

AFFILIATE TEAM OPTION &ndash; $100 PER AFFILIATE/GYM

To make this even more of a community event we are putting a twist on this years team option. Instead of the normal M/F team combo option we normally do this year we will have the option for athletes or owners to register their affiliate as a team. This will require a minimum of 3 male athletes and 3 female athletes to be competing from the registered gym. Each workout we will total up the score of the top 3 male scores and top 3 female scores across all adult divisions and all adult athletes associated with that gym as their approver. These totaled scores will then be posted and ranked against the other participating affiliate teams. In addition to gaining points from the workouts, affiliates will also gain points on the leaderboard for total number of registrants, total number of Bullet Point Open merch items purchased, and total funds raised for their selected charity.

Upon completion the top Affiliate Team will receive banner to hang in the rafters at the gym, bragging rights of being the baddest ass gym in the region and not to mention some very epic gear for their gym. Just another way for us to give back to the amazing gyms in the area that support us.

TEEN/KID DIVISIONS &ndash; $25.00 PER PERSON

Due to popular demand we will be bringing back the teen and kids division this year. Teen division will be for athletes that are 17 years of age or younger as of January 1 while the kids division will be for athletes that are 12 years of age or younger as of January 1 . We feel that this event, being online, is the perfect opportunity for the kids involved in CrossFit Kids and youth programs around the state to get a taste of the competitive side of this sport in the security of their own box. Programming will be completed by CrossFit Kids/Brand X Method staff where we will try to mimic the movements and formats in the adult workouts. The division will allow for athletes to select &ldquo;scaled&rdquo; when submitting their score if they are unable to do any of the prescribed options. Marking a score as such will still place the athlete but rank them below Rx scores.

ADAPTIVE DIVISION &ndash; $25.00 PER PERSON

Adaptive athlete will compete in a singular division for the Bullet Point Open. We will be working with the coaches and athletes on providing options for the workouts for both standing/seated adaptive athletes. Much like the Youngsters division we will rely heavily on the coaches of these athletes to work with us on proper scaling for their athlete to best achieve the intent of the workout. The division will allow for athletes to select &ldquo;scaled&rdquo; when submitting their score if they are unable to do any of the prescribed options. Marking a score as such will still place the athlete but rank them below Rx scores.

MILITARY, LAW ENFORCEMENT, FIREFIGHTERS AND FIRST RESPONDERS

As always we wanted to give special attention to the people that help keep us safe and while we will not have special divisions for this, during registration you will have the option to select if you fall into any of these categories. We will be doing some prizes and swag for some of the top finishers in these categories!","","Bullet Point Competition Series Presents","01","01","2021","25","01","2021","Bullet Point Competition Series","http://www.bulletpointcompetition.com/","https://throwdownhub.io/calendar/competition/info/718"
"Fittest on the Web: Winter 2021","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","06","01","2021","03","02","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/719"
"Fittest on the Web: Fall 2021","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","05","10","2021","03","11","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/722"
"MASTERS LEAGUE OPEN 2021","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","29","01","2021","25","02","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/723"
"Girls Gone RX - Oly Open 2021","","","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","","Throwdown Hub Presents","03","03","2021","03","04","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/725"
"CFE's Two Peas In A Pod","10 Ray Ave, Burlington, MA, 01803, United States","CrossFit Exclamation","This event was added by the Throwdown Hub team. If you are the event organiser, please claim the event using the button below.","Global","Throwdown Hub Presents","02","04","2021","02","04","2021","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/727"
"ALLSTAR ALLIANCE ONLINE TEAM SERIES","","","The Allstar Online Team Series Qualifier is designed to allow Teams of four from all over Australia/World to compete against each other in 4divisions. The Allstar Online Team Series Qualifier allow beginners, teens, masters through to advanced athletes to compete against other affiliates/gyms throughout Australia/World.","","Allstar Alliance Presents","25","11","2020","15","12","2020","Allstar Alliance","http://www.allstaralliance.com.au","https://throwdownhub.io/calendar/competition/info/729"
"Cub Games Online Kids and Teens Competition","","","The Cub Gamesis an annual 5-week competition that brings the world of fitness &amp; fun to children around the world.In 2021, the magical competition celebrating Fitness, Fun and Community will run from February 2021 to March 2021. A workout will be released online every Thursday at 5pm, and each athlete will have until Wednesday 10am (AEST) the following week to lodge a score.It could be said that the highlight of this competition would be the participation and experience itself, however there will also be amazing prizes provided by top-notch sponsors.With 3 different age divisions, and perfect for ALL levels, The Cub Games strives to challenge every competitor beyond what they previously thought was possible. The Cub Games athletes will get to experience what it is like to sweat alongside their parents during the Open Season and have an absolute ball in the process.DIVISIONS &ndash; MALE/FEMALEFOX CUB: 7 -9 yearsBEAR CUB: 10-12 yearsLION CUB: 13 -15 years*Each division will have a workout suitable for beginner to the more advanced *The workouts have been designed and tested by Certified trainers, and equipment will be minimal. The competition is based around fun and of course safety.The Cub Games is all about community. In an effort to grow our community there will be information all year on training for the Cub Games, helpful nutritional tips for all of the family and awesome giveaways. Plenty to keep everyone happy until the Cub Games Season is upon us.","","Competition Expo Presents","18","02","2021","18","03","2021","Competition Expo","http://gridlockcompetition.com","https://throwdownhub.io/calendar/competition/info/732"
"THE FREAKEST CHALLENGE","","","THE MOST EPIC EDITION EVER


The Freakest challenge has been forced to change it&#39;s final format, but still aims to go even bigger and bolder



The Freakest Challenge is a free to join, online qualifierevent, open to athletes from all over Europe and has two divisions


	Teams
	Individual Adaptive. 


The team competition only accepts one team per box, 2 males and 2 females, and it must be the owner or Head Coach who confirms who the members of that official team are.



THE ONLINE QUALIFIER

The Online Qualifier of this 6th edition consists of 3 workouts that will be announced between November 20th and November 23rd and whose results must be registered before December 20th at 23:59 (CEST). 4 weeks and 3 workouts to earn one of the 8 exclusive spots in the final.

No other formal registration is required, once the results are registered correctly the registration is complete.



THE FINAL

Only 8 privileged teams will access the exclusive Superfinal of February 6th - 7th.

At the Final, a draw will define the order of play for the elimination rounds and the 8 teams will battle each other head-to-head to define who the champion is.

8 will start, only 1 will take the title home



To find out more about this years Freakest Challenge, visit the official event page



2020EDITION OFFICIAL VIDEO","","Fittest Freakest Presents","30","11","2020","20","12","2020","Fittest Freakest","http://www.fittestfreakest.com","https://throwdownhub.io/calendar/competition/info/733"
"SCARAB OPEN 2020","","","26 Engineer Regiment&#39;s first online Warrior Fitness Competition.

Open to all, no experience neccessary. Check out the video eitherhereor on Defence Connect and get signed up for the chance to win!!

COMPLETING THE WORKOUTS

Workouts can be submitted in any order, freeing you up to choose how you want to complete them. There are videos with each workout that explain the standards.

**DEADLIFT WORKOUT**

Please ensure you show the weights that are loaded onto the bar and ensure the whole bar is in the video all of the time.

VIDEO SUBMISSIONS

Please use the app WODProof to submit your videos. If you are unsure of how to use the app, please speak to SSgt Kinnear or Sgt Morath in 8 AES and they will be glad to assist where they can.","","26 Engineer Regiment Presents","27","11","2020","06","12","2020","26 Engineer Regiment","","https://throwdownhub.io/calendar/competition/info/734"
"APEX GAMES ONLINE","","","We are releasing4 workouts over 2 weeks, for you to record and complete on your home turf. All results will be live ranked in real time across the UK.



Workouts will focus on dumbbell, kettlebell,rowing, cleaning and bodyweight exercises (i.e. burpees/push ups/V-ups etc).We&#39;re going to test your strength and engine like never before.","","Apex Games Presents","01","02","2021","14","02","2021","Apex Games","http://www.apexgames.co","https://throwdownhub.io/calendar/competition/info/735"
"WODSTARS XMAS THROWDOWN","","","This event was added by Throwdown Hub Staff. If you are the event organiser, please claim by using the button on this page.","","WodStars Presents","06","12","2020","13","12","2020","WodStars","https://wodstars.net","https://throwdownhub.io/calendar/competition/info/739"
"NORTH COAST CLASSIC","24 Bosworth Rd, Woolgoolga NSW 2456, Australia"," CrossFit Woolgoolga","This event was added by Throwdown Calendar staff. If you are the event organiser, you can claim this event by using the button on this page.","AU","CrossFit Woolgoolga Presents","01","05","2021","02","05","2021","CrossFit Woolgoolga","http://www.crossfitwoolgoolga.com","https://throwdownhub.io/calendar/competition/info/742"
"UK Teen Throwdown","Rotherham, S61 1RS"," 1 Henley Grove Road","Perfect for all abilities - for your first teen comp or the more seasoned athlete!

Saturday November 14th

Categories:

Girls Age 11-14

Boys Age 11-14

Girls Age 15-18

Boys Age 15-18



The aim of this competition is to get the younger generation competing in a friendly but professional environment.



All movements will be inclusive, with scalable options for gymnastics.

Weights will be volume by load, so the teen can select a weight appropriate to their skill level.



Emphasis is on fun and a safe, competitive environment.","GB","CrossFit Rotherham Presents","24","04","2021","24","04","2021","CrossFit Rotherham","http://www.crossfitrotherham.co.uk/forge-fitness-series","https://throwdownhub.io/calendar/competition/info/746"
"WOD ON THE LOCH","Luss","Loch Lomond","WOD on the Loch is Scotlands biggest functional fitness competition andfitness festival. 2 days of food, drink, music and competition showcasing the very bestof scotland scenery drawing in people from around the world.","GB","WOD on the Loch  Presents","10","07","2021","11","07","2021","WOD on the Loch ","https://app.throwdowns.com/competitions/wod-on-the-loch/","https://throwdownhub.io/calendar/competition/info/748"
"VALOR GAMES","10351 72nd Street North, Seminole, FL, United States","Valor Fitness","This event was added by Throwdown Hub Staff. If you are the event organiser and wish to claim this event, you can do so using the button on this page","US","Valor Fitness Presents","06","02","2021","06","02","2021","Valor Fitness","http://www.thevalorgames.com","https://throwdownhub.io/calendar/competition/info/751"
"BATTLE OF THE HEARTS","1650 Wabash Ave, Springfield, Illinois, United States","FitBodies","This event was added by the Throwdown Hub team. If you are the event organiser, you cvan claim and maange this event by clicking the link on the page.","US","FitBodies  Presents","06","02","2021","06","12","2020","FitBodies ","","https://throwdownhub.io/calendar/competition/info/752"
"The Triplet","One Henley Grove Road, Rotherham, S61 1RS","Forge Fitness UK","Same Sex Teams of Three



Saturday: Male Scaled &amp; RX &amp; Masters

Sunday: Female Scaled &amp; RX &amp; Masters



Masters: combined age of 120, minimum age 35.



RX Standard 

Recycling Bar @ 60/42.5kg

Dumbbell 22.5/15kg

KB 24/16kg



GYMNASTICS: We may include HSPU, MU, &amp; pistols - only one athlete must be competent with the move



Scaled Standard &amp; Masters



Recycling bar @ 42.5/30kg

Dumbell @ 20/12.5kg

kB @ 20/12kg



GYMNASTICS: We may include TTB, HSPU (with alternative) and Pull-ups - only need one athlete to be competent with the move



Pandemic disclaimer: In the event that the event is postponed and you cannot make the next date, a voucher will be issued for the next competition.","GB","CrossFit Rotherham Presents","05","06","2021","06","06","2021","CrossFit Rotherham","http://www.crossfitrotherham.co.uk/forge-fitness-series","https://throwdownhub.io/calendar/competition/info/754"
"The Couplet","1 Henley Grove Road, S61 1RS","Forge Fitness UK","Forge Fitness present: The Couplet

A socially distanced competition designed to test you and give you a great competition floor experience!

Hygiene measures implemented

PPE everywhere

Your safety is our priority!



The categories!



Categories are:



RX

Masters

Scaled 1 

Scaled 2



Saturday 13th February

Mixed Sex Pairs

RX

Masters Combined age of at least 80, minimum age of 35





Sunday 14th February

Mixed Sex Pairs

scaled 1 &amp; 2



Movement standards - some but not all of these movements may appear



RX Standard 

Recycling Bar @ 60/42.5kg

Dumbbell 22.5/15kg

KB 24/16kg

All gymnastics

DU&rsquo;s

RX Standard - Women - All gymnastics excluding M/ups

Men - all gymnastics



Masters and Scaled 1 Standard

Recycling bar @ 42.5/30kg

Dumbbell @ 20/12.5kgkB @ 20/12kg

All gymnasticsexcludingm/ups &amp; pistols &amp; CTB

HSPU if included will be with one ab mat.



Scaled 2

Recycling bar @ 35/25

DB @ 15/10

KB @16/10

Gymnastics: Knees to torso, jumping pull up, bear crawl, wall walk","GB","CrossFit Rotherham Presents","13","02","2021","14","02","2021","CrossFit Rotherham","http://www.crossfitrotherham.co.uk/forge-fitness-series","https://throwdownhub.io/calendar/competition/info/755"
"Masters   Teens Throwdown   Online Qualifiers 2021","","","The Masters &amp; Teens Throwdown Qualifier is an online competition that will be held at your own box, gym or backyardno matter where in the world.
Bringing together both Teens and Masters athletes in one throwdown is unique and adds an extra level to the competition!

!! NEW IN 2021 !!


	Adding an extra layer of excitement: Semi Finals
	Scaled division athletes compete in the Finals
	Teens age groups 18-19 &amp; 20-21


Find all the information on our website, social media channels or register directly via Competition Corner","","Girls Behind Bars Events Presents","22","01","2021","07","02","2021","Girls Behind Bars Events","http://www.mastersteensthrowdown.nl","https://throwdownhub.io/calendar/competition/info/757"
"Masters  Teens Throwdown  Online Semi Finals 2021","","","The Masters &amp; Teens Throwdown Semi Finals is an online competition that will be held at your own box, gym or backyardno matter where in the world.
Bringing together both Teens and Masters athletes in one throwdown is unique and adds an extra level to the competition!

This year we are adding an extra layer of excitement to the competition!After the qualifier the bestof each age categorywill proceedto theonline Semi Finals.We willchallenge youto give it your all with another set of workouts, to be performed at your own box, gym or backyard.

Qualifiers for all
Semi Finals for the best
Finals for super heroes","","Girls Behind Bars Events Presents","02","04","2021","11","04","2021","Girls Behind Bars Events","http://www.mastersteensthrowdown.nl","https://throwdownhub.io/calendar/competition/info/758"
"Masters Teens Throwdown Finals 2021","Oude Fabriekstraat 20, 3812NR Amersfoort, The Netherlands","Prodentfabriek ","The Masters &amp; Teens Throwdown Finals 2021is a live competition that will be held in Amersfoort, The Netherlands.
Bringing together both Teens and Masters athletes in one throwdown is unique and adds an extra level to the competition!

Still standing at the top of the leaderboard after passing through the qualifiers and semi finals? Congratz, you&#39;ve made it to the finals!

The bestof each age categorywill receive a personal invitation by emailto compete at our live event.
Location will follow","NL","Girls Behind Bars Events Presents","05","06","2021","06","06","2021","Girls Behind Bars Events","http://www.mastersteensthrowdown.nl","https://throwdownhub.io/calendar/competition/info/759"
"TURF GAMES 2021 LONDON SUMMER FESTIVAL","Vallis Way, West Ealing, Ealing W13 0DD","Ealing Trailfinders Rugby Club","The Under Armour Turf Games 2021 London Summer Festival is going to be big. Thousands of athletes and spectators will converge on our new London Summer venue - Ealing Trailfnders in West London for this 3 day event. Categories in male, female and mixed teams as well as a corporate chairty cup will see athletes compete over the weekend in an unreal fesitval vibe to celebrate everything we love about fitness. Open to people of all fitness levels - from rookies to serious athletes - we can&#39;t wait to get everyone back together.

More details and team entry dates coming soon to www.turfgames.com","GB","Turf Games Presents","02","07","2021","04","07","2021","Turf Games","http://www.turfgames.com","https://throwdownhub.io/calendar/competition/info/761"
"Outtrain summer competition","Lancaster way Ely Cambs","Elyte Fitness","Enter as a same sex team of 3.

Endurance based workouts to test your strength and fitness and how well you work as a team.

Approx 2 hours of workout time.

Think Weights, Rowers and Bikes.","GB","Outtrain  Presents","27","06","2021","27","06","2021","Outtrain ","https://www.outtrain.co.uk","https://throwdownhub.io/calendar/competition/info/762"
"Metcon for mental health","Ca13 ","Cockermouth rufc","Same sex pairs competition based in the Lake District.

3rd year running raising funds for Mind uk charity.


hosted by Cockermouth RUFC with acres of space. On site bar, parking,showers &amp; changing facilities and amazing views.","","The fitness collective Presents","03","07","2021","04","07","2021","The fitness collective","","https://throwdownhub.io/calendar/competition/info/763"
"Midlands Fitness Games","Lincoln Rd, Coddington, Newark NG24 2NY","Newark Showground","Midlands Fitness Games - Teams of 4

The very first Midlands Fitness Games opens with mixed teams of 4 (MMFF).

Bringing you 4 categories to accommodate for all abilities. Rx/Intermediate/Scaled/Masters.

Held at the amazing Lady Eastwood Centre @ The Newark Showground. 1400 sqm of space, which will include a custom 20 lane rig, brand new olympic barbells/plates and what will be an electric atmosphere.

Easily accessible, located just off the A1.

This will be the first of many amazing events held by Midlands Fitness Games! Watch This Space!

Get involved and see what all the hype is about!","GB","Midlands Fitness Games Presents","10","10","2021","10","10","2021","Midlands Fitness Games","https://competitioncorner.net/events/3214","https://throwdownhub.io/calendar/competition/info/764"
"CrossFit Haywards Heath Summer Throwdown","Holmsted Farm,, Staplefield Rd, Cuckfield, Haywards Heath RH17 5JF","Crossfit Haywards Heath","CrossFit Haywards Heath in Sussex are hosting their first Summer Throwdown. In the heart of Rural Sussex, 15 Minutes from Brighton its the perfect location to make a weekend of it!.

10th - 11th July 2021 same sex pairs offering RX and Scaled.

10th July will host our female same sex scaled and RX competition.

11th July will host our male same sex scaled and RX competition.

We are lucky to have 4,500sq foot unit and 15 acres of green field to play with so we hope to be able to bring some real verity to our WOD&#39;s (weather depending).

All tickets now live at

Female RX, Scaled, Masters Tickets -https://www.team-aretas.com/competitions/391

Male RX, Scaled, Masters Tickets -https://www.team-aretas.com/competitions/392

All the best guys","GB","CrossFit Haywards Heath Presents","10","07","2021","11","07","2021","CrossFit Haywards Heath","http://www.CrossfitHaywardsHeath.co.uk","https://throwdownhub.io/calendar/competition/info/765"
"The Mixer ","Lawson Street, north shields, NE29 6TG","Forged training ","The castle games hype brought to North shields

Same sex 3s

No qualifiers -first come first served basis, limited spots","GB","The Castle Games  Presents","10","07","2021","11","07","2021","The Castle Games ","http://Www.thecastlegames.co.uk","https://throwdownhub.io/calendar/competition/info/766"
"The Mixer mixed pairs","TS25 1UD","Crossfit Telic","The Mixer - Mixed pairs

All the castle games hype brought to Hartlepool.



No qualifiers - first come first served limited spots available!



registration opens March 26th","GB","The Castle Games  Presents","14","08","2021","15","08","2021","The Castle Games ","http://Www.thecastlegames.co.uk","https://throwdownhub.io/calendar/competition/info/767"
"The Mixer same sex pairs","DL1 4PG","Crossfit Darlington","The Mixer - Same sex pairs

All the castle games hype brought to Darlington

No qualifiers - first come first served! limited spots available!



Ragistration opens March 26th","GB","The Castle Games  Presents","11","09","2021","12","09","2021","The Castle Games ","http://Www.thecastlegames.co.uk","https://throwdownhub.io/calendar/competition/info/768"
"Virtual 2K Row for time","","","Join us for a virtual compeition.

2K row for time.

Complete anywhere on an erg. Simply video and screenshot your time and distance and post results on our Instagram page @out.train

Take part as many times as you want across the 2 days.","","Outtrain  Presents","02","04","2021","04","04","2021","Outtrain ","https://www.outtrain.co.uk","https://throwdownhub.io/calendar/competition/info/769"
"Southern Rivals  The Quads","Unit 3B Barton Park Industrial Estate, Eastleigh, Hampshire, SO50 6RR","CrossFit Southampton","Join us on either Saturday 2ndOctober 2021 (scaled) or Sunday 3rd October 2021 (RX) for a mixed teams competition at CrossFit Southampton, a huge functional fitness space on the South Coast. Each team will take part in 3 workouts with the final 7 teams going through to the final.



Accessible to all abilities, this flagship teams event will feature a mix of fast-paced functional fitness workouts using kit you&rsquo;re familiar with and an outdoor agility event with equipment you&rsquo;re less familiar with! It&rsquo;ll be an all-round fun filled day!



Refreshments including top quality coffee, energy drinks and snacks will be available on the day, with lunch from our friends at The Hog Shack available to pre-order



Workout demos and movement standards will be announced online in the week leading up to the competition.



Entry is &pound;35 per person and can be purchased using the link below &ndash; places are very limited! No need to give your team names just yet, we&rsquo;ll be in touch nearer the time.



Grab your team mates and get signed up! Early bird pricing until the end of March 2021 with codeEARLYBIRD10



Unsure whether to sign up to RX or Scaled?

RX athleteswould need to be able to perform the following movements and weights (male/female) as a guide. This does not mean these specific movements will be featured, it&rsquo;s just a guide:


	TTB
	Pull Ups
	Thrusters 50kg/35kg
	Deadlift 100kg/70kg
	GTOH &ndash; 70kg/45kg


Scaledentry would be suitable for anyone unable to perform the RX standards as long as they have a basic understanding of the fundamental movements in CrossFit. An example of the types of movements and weights you&rsquo;d need to be able to perform would be:


	Hand Release Press Ups
	Ab Mat Sit Ups
	Single Unders
	Jumping Pull Ups
	Thrusters &ndash; 35kg/20kg
	Deadlift &ndash; 70kg/50kg
	GTOH &ndash; 45kg/30kg


If you have any questions regarding the RX or Scaled standards, get in touch.","GB","CrossFit Southampton Presents","02","10","2021","03","10","2021","CrossFit Southampton","http://crossfitsouthampton.com","https://throwdownhub.io/calendar/competition/info/771"
"Clash of the Clans 2021  Clan Battle","Queens Drive, Perth, United Kingdom","Scone Palace","FITNESS RACING MEETS HIGHLANDS GAMES



A team fitness competition inspired by the Highland games!

Team of 4 - combined team age of 120+ (1 athlete to be 35+ at the time of the event).

A mix of regular CrossFit style and Highland games movements.

Taking you back to the origins of functional fitness!","GB","Clash of the Clans Presents","14","08","2021","15","08","2021","Clash of the Clans","http://Www.Clashoftheclans.co.uk","https://throwdownhub.io/calendar/competition/info/772"
"Asap Fitness RX Mixed Pairs ","Sk131bs ","Asap Fitness ","RX Mixed Pairs Functional Fitness Competition. 4 Workouts &amp; a Final!!


Big Prize Money!! 1st - &pound;1000 2nd - &pound;500 3rd - &pound;300.


Movement standards to expect - Bar muscle ups / barbell weight 50/70KG / Double Unders.","GB","Asap fitness  Presents","27","06","2021","27","06","2021","Asap fitness ","","https://throwdownhub.io/calendar/competition/info/773"
"Jailbreak Tour Leeds","Crag Ln, Leeds LS17 5PR","The Leodiensian Club","BFMG Jailbreak Tour is Part Of The Solution!

The competition will take place over the course of one day and will be for same sex pairs. We will have two categories; Scaled and RX.

Scaled: Whether you&#39;ve done functional fitness for 2 days or 2 years we want you to get involved. There wont be any advanced movements or gymnastics in this category, just lots of fun!

RX: For the more experienced athlete, some heavier weights and slighlty more advanced movements. You know the drill.

This a direct entry competition, with no qualifiers.

This is a non-profit event, all profits made on the competition will be going back to your gyms!

Spectator tickets are free (but please still register for one!) however, as we are working alongside Part Of The Solution all donations are welcome on the day.



https://www.partofthesolution.uk/","GB","Battle For Middle Ground Presents","19","06","2021","19","06","2021","Battle For Middle Ground","http://www.bfmg.co.uk","https://throwdownhub.io/calendar/competition/info/778"
"Jailbreak Tour CrossFit Faber","The International Pavilion, 10th Street, Stoneleigh, Kenilworth CV8 2LG","CrossFit Faber","BFMG Jailbreak Tour is Part Of The Solution!

The competition will take place over the course of one day and will be for same sex pairs. We will have two categories; Scaled and RX.

Scaled: Whether you&#39;ve done functional fitness for 2 days or 2 years we want you to get involved. There wont be any advanced movements or gymnastics in this category, just lots of fun!

RX: For the more experienced athlete, some heavier weights and slighlty more advanced movements. You know the drill.

This a direct entry competition, with no qualifiers.

This is a non-profit event, all profits made on the competition will be going back to your gyms!

Spectator tickets are free (but please still register for one!) however, as we are working alongside Part Of The Solution all donations are welcome on the day.



https://www.partofthesolution.uk/","GB","Battle For Middle Ground Presents","31","07","2021","31","07","2021","Battle For Middle Ground","http://www.bfmg.co.uk","https://throwdownhub.io/calendar/competition/info/779"
"Jailbreak Tour CrossFit Huntsman","Unit 2 College farm, Hertford SG13 7NX","CrossFit Huntsman","BFMG Jailbreak Tour is Part Of The Solution!

The competition will take place over the course of one day and will be for same sex pairs. We will have two categories; Scaled and RX.

Scaled: Whether you&#39;ve done functional fitness for 2 days or 2 years we want you to get involved. There wont be any advanced movements or gymnastics in this category, just lots of fun!

RX: For the more experienced athlete, some heavier weights and slighlty more advanced movements. You know the drill.

This a direct entry competition, with no qualifiers.

This is a non-profit event, all profits made on the competition will be going back to your gyms!

Spectator tickets are free (but please still register for one!) however, as we are working alongside Part Of The Solution all donations are welcome on the day.



https://www.partofthesolution.uk/","GB","Battle For Middle Ground Presents","07","08","2021","07","08","2021","Battle For Middle Ground","http://www.bfmg.co.uk","https://throwdownhub.io/calendar/competition/info/780"
"Jailbreak Tour WIT","1 New Change, London EC4M 9AF","WIT House LDN","BFMG Jailbreak Tour is Part Of The Solution!

The competition will take place over the course of one day and will be for same sex pairs. We will have two categories; Scaled and RX.

Scaled: Whether you&#39;ve done functional fitness for 2 days or 2 years we want you to get involved. There wont be any advanced movements or gymnastics in this category, just lots of fun!

RX: For the more experienced athlete, some heavier weights and slighlty more advanced movements. You know the drill.

This a direct entry competition, with no qualifiers.

This is a non-profit event, all profits made on the competition will be going back to your gyms!

Spectator tickets are free (but please still register for one!) however, as we are working alongside Part Of The Solution all donations are welcome on the day.



https://www.partofthesolution.uk/","GB","Battle For Middle Ground Presents","18","09","2021","18","09","2021","Battle For Middle Ground","http://www.bfmg.co.uk","https://throwdownhub.io/calendar/competition/info/781"
